h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.5,1.0,2.0,1.0,6.0,0.5
0.5,1.0,5.0,1.25,5.3155652946601695,0.35063589340381224
0.5,1.5,7.6577826473300847,1.4253179467019061,5.0116313986545373,0.29723560288826401
 
Delta anterior / 2
h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.25,1.0,2.0,1.0,6.0,0.5
0.25,1.0,3.5,1.125,5.3011560825848711,0.31022934128708601
0.25,1.25,4.8252890206462178,1.2025573353217716,4.9226593956187683,0.2231349191444334
0.25,1.5,6.0559538695509101,1.2583410651078799,4.6768605167909065,0.17446634769963057
0.25,1.75,7.2251689987486367,1.3019576520327876,4.5013831023695579,0.14388745452578092
 
Delta anterior / 2
h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.125,1.0,2.0,1.0,6.0,0.5
0.125,1.0,2.75,1.0625,5.4456590830330036,0.31839459718122021
0.125,1.125,3.4307073853791255,1.1022993246476525,5.0804932772783102,0.21174633360486583
0.125,1.25,4.0657690450389143,1.1287676163482607,4.814632543798127,0.14243277897944229
0.125,1.375,4.6675981130136801,1.146571713720691,4.6092986472761739,0.094215511953117476
0.125,1.5,5.2437604439232022,1.1583486527148308,4.4443235501033804,0.0590004345699345
0.125,1.625,5.7993008876861243,1.1657237070360726,4.307941637226155,0.032323265759494596
0.125,1.75,6.337793592339394,1.1697641152560094,4.1927295497894663,0.011530015801844071
0.125,1.875,6.8618847860630776,1.1712053672312399,4.093727236782077,-0.0050510379302854611
 
Delta anterior / 2
